date,type,price,reason
2026-03-24 20:05:02,BUY,69539.12,Signal Strategie
2026-03-24 20:23:22,SELL,69579.96,Trailing Stop
2026-03-24 21:14:59,BUY,69405.55,Signal Strategie
2026-03-24 21:15:02,BUY,69405.54,Signal Strategie
2026-03-24 21:20:32,SELL,64249.42,Trailing Stop
2026-03-24 21:21:10,SELL,67266.29,Trailing Stop
2026-03-24 22:06:02,BUY,70206.47,Signal Strategie
2026-03-24 22:06:02,BUY,70206.47,Signal Strategie
2026-03-24 22:07:45,SELL,70071.08,Trailing Stop
2026-03-24 22:07:48,SELL,70071.07,Trailing Stop
2026-03-24 22:27:01,BUY,70053.37,Signal Strategie
2026-03-24 22:27:02,BUY,70053.37,Signal Strategie
2026-03-24 22:51:46,SELL,70216.71,Trailing Stop
2026-03-24 22:51:50,SELL,70216.72,Trailing Stop
2026-03-24 23:08:04,BUY,70391.21,Signal Strategie
2026-03-24 23:08:06,BUY,70391.21,Signal Strategie
2026-03-24 23:17:59,SELL,70448.36,Signal Sortie
2026-03-24 23:18:01,SELL,70429.2,Signal Sortie
2026-03-24 23:30:26,SELL,70188.0,Trailing Stop
2026-03-25 00:26:57,BUY,70673.73,Signal Strategie
2026-03-25 00:27:42,BUY,70710.0,Signal Strategie
2026-03-25 00:37:03,SELL,70739.87,Signal Sortie
2026-03-25 00:37:45,SELL,70776.99,Signal Sortie
2026-03-25 01:27:58,BUY,70675.78,Signal Strategie
2026-03-25 01:27:58,BUY,70675.78,Signal Strategie
2026-03-25 01:30:42,SELL,70481.53,Trailing Stop
2026-03-25 01:30:59,SELL,70557.99,Signal Sortie
2026-03-25 01:33:00,BUY,70680.0,Signal Strategie
2026-03-25 01:33:06,BUY,70719.48,Signal Strategie
2026-03-25 01:50:02,SELL,70860.3,Trailing Stop
2026-03-25 01:50:04,SELL,70860.3,Signal Sortie
2026-03-25 02:11:58,BUY,70942.95,Signal Strategie
2026-03-25 02:12:10,BUY,70953.27,Signal Strategie
2026-03-25 02:15:44,SELL,70775.2,Trailing Stop
2026-03-25 02:16:11,SELL,70771.4,Trailing Stop
2026-03-25 02:42:59,BUY,70800.46,Signal Strategie
2026-03-25 02:43:19,BUY,70766.64,Signal Strategie
2026-03-25 02:58:03,SELL,70736.24,Signal Sortie
2026-03-25 02:58:23,SELL,70743.47,Signal Sortie
2026-03-25 05:07:57,BUY,70818.57,Signal Strategie
2026-03-25 05:07:57,BUY,70818.57,Signal Strategie
